with_pinyin_part.part_type:string,:SRC_VID(string),:DST_VID(string)
initial,guan1,g
final,guan1,uan
initial,fan4,f
final,fan4,an
initial,jue2,j
final,jue2,ue
initial,mai4,m
final,mai4,ai
initial,guan1,g
final,guan1,uan
initial,mai4,m
final,mai4,ai
initial,jue2,j
final,jue2,ue
initial,mai4,m
final,mai4,ai
initial,guan1,g
final,guan1,uan
initial,yu4,y
final,yu4,u
initial,jue2,j
final,jue2,ue
initial,mai4,m
final,mai4,ai
initial,guan1,g
final,guan1,uan
initial,yu4,y
final,yu4,u
initial,yu4,y
final,yu4,u
initial,mai4,m
final,mai4,ai
initial,guo2,g
final,guo2,uo
initial,qiu2,q
final,qiu2,iu
initial,li4,l
final,li4,i
initial,mai4,m
final,mai4,ai
initial,guo2,g
final,guo2,uo
initial,qiu2,q
final,qiu2,iu
initial,rong2,r
final,rong2,ong
initial,mai4,m
final,mai4,ai
initial,jian4,j
final,jian4,ian
initial,mai3,m
final,mai3,ai
initial,du2,d
final,du2,u
initial,mai4,m
final,mai4,ai
initial,jian4,j
final,jian4,ian
initial,mai3,m
final,mai3,ai
initial,niu2,n
final,niu2,iu
initial,mai4,m
final,mai4,ai
initial,jian4,j
final,jian4,ian
initial,mai3,m
final,mai3,ai
initial,qin2,q
final,qin2,in
initial,mai4,m
final,mai4,ai
initial,jue2,j
final,jue2,ue
initial,yu4,y
final,yu4,u
initial,guan1,g
final,guan1,uan
initial,mai4,m
final,mai4,ai
initial,kong1,k
final,kong1,ong
initial,mai3,m
final,mai3,ai
initial,kong1,k
final,kong1,ong
initial,mai4,m
final,mai4,ai
initial,li3,l
final,li3,i
initial,zuan1,z
final,zuan1,uan
initial,he2,h
final,he2,e
initial,mai4,m
final,mai4,ai
initial,lv3,l
final,lv3,v
initial,fen1,f
final,fen1,en
initial,xiang1,x
final,xiang1,iang
initial,mai4,m
final,mai4,ai
initial,nan2,n
final,nan2,an
initial,yu4,y
final,yu4,u
initial,nv3,n
final,nv3,v
initial,mai4,m
final,mai4,ai
initial,qi1,q
final,qi1,i
initial,yu4,y
final,yu4,u
initial,zi3,z
final,zi3,i
initial,mai4,m
final,mai4,ai
initial,qiao4,q
final,qiao4,iao
initial,xing2,x
final,xing2,ing
initial,jian1,j
final,jian1,ian
initial,mai4,m
final,mai4,ai
initial,qiao4,q
final,qiao4,iao
initial,ying2,y
final,ying2,ing
initial,jian1,j
final,jian1,ian
initial,mai4,m
final,mai4,ai
initial,shen1,sh
final,shen1,en
initial,tou2,t
final,tou2,ou
initial,kao4,k
final,kao4,ao
initial,mai4,m
final,mai4,ai
initial,tou2,t
final,tou2,ou
initial,mai4,m
final,mai4,ai
initial,jiao3,j
final,jiao3,iao
initial,mai4,m
final,mai4,ai
initial,wen2,w
final,wen2,en
initial,wei2,w
final,wei2,ei
initial,shen1,sh
final,shen1,en
initial,mai4,m
final,mai4,ai
initial,xiao4,x
final,xiao4,iao
initial,zhui1,zh
final,zhui1,ui
initial,huan1,h
final,huan1,uan
initial,mai4,m
final,mai4,ai
initial,you3,y
final,you3,ou
initial,qiu2,q
final,qiu2,iu
initial,rong2,r
final,rong2,ong
initial,mai4,m
final,mai4,ai
initial,zhu3,zh
final,zhu3,u
initial,qiu2,q
final,qiu2,iu
initial,rong2,r
final,rong2,ong
initial,mo4,m
final,mo4,o
initial,mo4,m
final,mo4,o
initial,han2,h
final,han2,an
initial,qing2,q
final,qing2,ing
initial,mai4,m
final,mai4,ai
initial,mai4,m
final,mai4,ai
initial,xiang1,x
final,xiang1,iang
initial,tong1,t
final,tong1,ong
initial,man2,m
final,man2,an
initial,bu4,b
final,bu4,u
initial,jiang3,j
final,jiang3,iang
initial,li3,l
final,li3,i
initial,man2,m
final,man2,an
initial,chu4,ch
final,chu4,u
initial,xiang1,x
final,xiang1,iang
initial,zheng1,zh
final,zheng1,eng
initial,man2,m
final,man2,an
initial,heng4,h
final,heng4,eng
initial,wu2,w
final,wu2,u
initial,li3,l
final,li3,i
initial,man2,m
final,man2,an
initial,lai2,l
final,lai2,ai
initial,sheng1,sh
final,sheng1,eng
initial,zuo4,z
final,zuo4,uo
initial,man2,m
final,man2,an
initial,yan1,y
final,yan1,an
initial,zhang4,zh
final,zhang4,ang
initial,wu4,w
final,wu4,u
initial,man2,m
final,man2,an
initial,yan1,y
final,yan1,an
initial,zhang4,zh
final,zhang4,ang
initial,yu3,y
final,yu3,u
initial,man2,m
final,man2,an
initial,shang4,sh
final,shang4,ang
initial,qi1,q
final,qi1,i
initial,xia4,x
final,xia4,ia
initial,man2,m
final,man2,an
initial,shen2,sh
final,shen2,en
initial,nong4,n
final,nong4,ong
initial,gui3,g
final,gui3,ui
initial,man2,m
final,man2,an
initial,tian1,t
final,tian1,ian
initial,da4,d
final,da4,a
initial,huang3,h
final,huang3,uang
initial,man2,m
final,man2,an
initial,tian1,t
final,tian1,ian
initial,guo4,g
final,guo4,uo
initial,hai3,h
final,hai3,ai
initial,man2,m
final,man2,an
initial,tian1,t
final,tian1,ian
initial,man2,m
final,man2,an
initial,di4,d
final,di4,i
initial,man2,m
final,man2,an
initial,tian1,t
final,tian1,ian
initial,mei4,m
final,mei4,ei
initial,di4,d
final,di4,i
initial,man2,m
final,man2,an
initial,tian1,t
final,tian1,ian
initial,tao3,t
final,tao3,ao
initial,jia4,j
final,jia4,ia
initial,man2,m
final,man2,an
initial,tian1,t
final,tian1,ian
initial,yao4,y
final,yao4,ao
initial,jia4,j
final,jia4,ia
initial,man2,m
final,man2,an
initial,xin1,x
final,xin1,in
initial,mei4,m
final,mei4,ei
initial,ji3,j
final,ji3,i
initial,man3,m
final,man3,an
initial,bu4,b
final,bu4,u
initial,zai4,z
final,zai4,ai
initial,hu1,h
final,hu1,u
initial,man3,m
final,man3,an
initial,bu4,b
final,bu4,u
initial,zai4,z
final,zai4,ai
initial,yi4,y
final,yi4,i
initial,man3,m
final,man3,an
initial,cheng2,ch
final,cheng2,eng
initial,feng1,f
final,feng1,eng
initial,yu3,y
final,yu3,u
initial,man3,m
final,man3,an
initial,da3,d
final,da3,a
initial,man3,m
final,man3,an
initial,suan4,s
final,suan4,uan
initial,man3,m
final,man3,an
final,er2,er
initial,bu4,b
final,bu4,u
initial,yi4,y
final,yi4,i
initial,man3,m
final,man3,an
initial,fu4,f
final,fu4,u
initial,hu2,h
final,hu2,u
initial,yi2,y
final,yi2,i
initial,man3,m
final,man3,an
initial,fu4,f
final,fu4,u
initial,jing1,j
final,jing1,ing
initial,lun2,l
final,lun2,un
initial,man3,m
final,man3,an
initial,fu4,f
final,fu4,u
initial,lao2,l
final,lao2,ao
initial,sao1,s
final,sao1,ao
initial,man3,m
final,man3,an
initial,fu4,f
final,fu4,u
initial,wen2,w
final,wen2,en
initial,zhang1,zh
final,zhang1,ang
initial,man3,m
final,man3,an
initial,fu4,f
final,fu4,u
initial,yi2,y
final,yi2,i
initial,tuan2,t
final,tuan2,uan
initial,man3,m
final,man3,an
initial,fu4,f
final,fu4,u
initial,zhu1,zh
final,zhu1,u
initial,ji1,j
final,ji1,i
initial,man3,m
final,man3,an
initial,gu3,g
final,gu3,u
initial,man3,m
final,man3,an
initial,keng1,k
final,keng1,eng
initial,man3,m
final,man3,an
initial,keng1,k
final,keng1,eng
initial,man3,m
final,man3,an
initial,gu3,g
final,gu3,u
initial,man3,m
final,man3,an
initial,lian3,l
final,lian3,ian
initial,chun1,ch
final,chun1,un
initial,feng1,f
final,feng1,eng
initial,man3,m
final,man3,an
initial,lian3,l
final,lian3,ian
initial,chun1,ch
final,chun1,un
initial,se4,s
final,se4,e
initial,man3,m
final,man3,an
initial,mian4,m
final,mian4,ian
initial,chun1,ch
final,chun1,un
initial,feng1,f
final,feng1,eng
initial,man3,m
final,man3,an
initial,mian4,m
final,mian4,ian
initial,hong2,h
final,hong2,ong
initial,guang1,g
final,guang1,uang
initial,man3,m
final,man3,an
initial,mu4,m
final,mu4,u
initial,chuang1,ch
final,chuang1,uang
initial,yi2,y
final,yi2,i
initial,man3,m
final,man3,an
initial,mu4,m
final,mu4,u
initial,jing1,j
final,jing1,ing
initial,zhen1,zh
final,zhen1,en
initial,man3,m
final,man3,an
initial,mu4,m
final,mu4,u
initial,qi1,q
final,qi1,i
initial,liang2,l
final,liang2,iang
initial,man3,m
final,man3,an
initial,pan2,p
final,pan2,an
initial,jie1,j
final,jie1,ie
initial,shu1,sh
final,shu1,u
initial,man3,m
final,man3,an
initial,qiang1,q
final,qiang1,iang
initial,re4,r
final,re4,e
initial,chen2,ch
final,chen2,en
initial,man3,m
final,man3,an
initial,qiang1,q
final,qiang1,iang
initial,re4,r
final,re4,e
initial,chen2,ch
final,chen2,en
initial,man3,m
final,man3,an
initial,shan1,sh
final,shan1,an
initial,bian4,b
final,bian4,ian
initial,ye3,y
final,ye3,e
initial,man3,m
final,man3,an
initial,she2,sh
final,she2,e
initial,sheng1,sh
final,sheng1,eng
initial,hua1,h
final,hua1,ua
initial,man3,m
final,man3,an
initial,tian1,t
final,tian1,ian
initial,xing1,x
final,xing1,ing
initial,dou3,d
final,dou3,ou
initial,man3,m
final,man3,an
initial,xiu4,x
final,xiu4,iu
initial,chun1,ch
final,chun1,un
initial,feng1,f
final,feng1,eng
initial,man3,m
final,man3,an
initial,yuan2,y
final,yuan2,uan
initial,chun1,ch
final,chun1,un
initial,se4,s
final,se4,e
initial,man3,m
final,man3,an
initial,zai4,z
final,zai4,ai
final,er2,er
initial,gui1,g
final,gui1,ui
initial,man3,m
final,man3,an
initial,zhi3,zh
final,zhi3,i
initial,kong1,k
final,kong1,ong
initial,yan2,y
final,yan2,an
initial,man3,m
final,man3,an
initial,zuo4,z
final,zuo4,uo
initial,feng1,f
final,feng1,eng
initial,sheng1,sh
final,sheng1,eng
initial,man3,m
final,man3,an
initial,zuo4,z
final,zuo4,uo
initial,feng1,f
final,feng1,eng
initial,sheng1,sh
final,sheng1,eng
initial,man4,m
final,man4,an
initial,yan3,y
final,yan3,an
initial,yu2,y
final,yu2,u
initial,long2,l
final,long2,ong
initial,man4,m
final,man4,an
initial,bu4,b
final,bu4,u
initial,jing1,j
final,jing1,ing
initial,yi4,y
final,yi4,i
initial,man4,m
final,man4,an
initial,cang2,c
final,cang2,ang
initial,hui4,h
final,hui4,ui
initial,dao4,d
final,dao4,ao
initial,man4,m
final,man4,an
initial,ci2,c
final,ci2,i
initial,hua2,h
final,hua2,ua
initial,shuo1,sh
final,shuo1,uo
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,man4,m
final,man4,an
initial,di4,d
final,di4,i
initial,man2,m
final,man2,an
initial,tian1,t
final,tian1,ian
initial,mei4,m
final,mei4,ei
initial,di4,d
final,di4,i
initial,man4,m
final,man4,an
initial,cang2,c
final,cang2,ang
initial,hui4,h
final,hui4,ui
initial,dao4,d
final,dao4,ao
initial,man4,m
final,man4,an
initial,teng2,t
final,teng2,eng
initial,si1,s
final,si1,i
initial,li3,l
final,li3,i
initial,man4,m
final,man4,an
initial,tiao2,t
final,tiao2,iao
initial,si1,s
final,si1,i
initial,li3,l
final,li3,i
initial,man4,m
final,man4,an
initial,tiao2,t
final,tiao2,iao
initial,si1,s
final,si1,i
initial,li3,l
final,li3,i
initial,man4,m
final,man4,an
initial,tiao2,t
final,tiao2,iao
initial,si1,s
final,si1,i
initial,li3,l
final,li3,i
initial,man4,m
final,man4,an
initial,tiao2,t
final,tiao2,iao
initial,si1,s
final,si1,i
initial,li3,l
final,li3,i
initial,man4,m
final,man4,an
initial,yi4,y
final,yi4,i
initial,sheng1,sh
final,sheng1,eng
initial,you1,y
final,you1,ou
initial,man4,m
final,man4,an
initial,bu4,b
final,bu4,u
initial,jia1,j
final,jia1,ia
initial,yi4,y
final,yi4,i
initial,man4,m
final,man4,an
initial,bu4,b
final,bu4,u
initial,jing1,j
final,jing1,ing
initial,xin1,x
final,xin1,in
initial,man4,m
final,man4,an
initial,bu4,b
final,bu4,u
initial,jing1,j
final,jing1,ing
initial,yi4,y
final,yi4,i
initial,man4,m
final,man4,an
initial,cang2,c
final,cang2,ang
initial,hui4,h
final,hui4,ui
initial,dao4,d
final,dao4,ao
initial,man4,m
final,man4,an
initial,di4,d
final,di4,i
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,man4,m
final,man4,an
initial,shan1,sh
final,shan1,an
initial,bian4,b
final,bian4,ian
initial,ye3,y
final,ye3,e
initial,man4,m
final,man4,an
initial,shan1,sh
final,shan1,an
initial,sai1,s
final,sai1,ai
initial,ye3,y
final,ye3,e
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,bi4,b
final,bi4,i
initial,ye3,y
final,ye3,e
initial,man4,m
final,man4,an
initial,shan1,sh
final,shan1,an
initial,bian4,b
final,bian4,ian
initial,di4,d
final,di4,i
initial,man4,m
final,man4,an
initial,shan1,sh
final,shan1,an
initial,bian4,b
final,bian4,ian
initial,ye3,y
final,ye3,e
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,da4,d
final,da4,a
initial,huang3,h
final,huang3,uang
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,gai4,g
final,gai4,ai
initial,di4,d
final,di4,i
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,guo4,g
final,guo4,uo
initial,hai3,h
final,hai3,ai
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,jiao4,j
final,jiao4,iao
initial,jia4,j
final,jia4,ia
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,kai1,k
final,kai1,ai
initial,jia4,j
final,jia4,ia
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,yan3,y
final,yan3,an
initial,di4,d
final,di4,i
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,yao4,y
final,yao4,ao
initial,jia4,j
final,jia4,ia
initial,man4,m
final,man4,an
initial,tian1,t
final,tian1,ian
initial,za1,z
final,za1,a
initial,di4,d
final,di4,i
initial,man4,m
final,man4,an
initial,tiao2,t
final,tiao2,iao
initial,si1,s
final,si1,i
initial,li3,l
final,li3,i
initial,man4,m
final,man4,an
initial,wu2,w
final,wu2,u
initial,bian1,b
final,bian1,ian
initial,ji4,j
final,ji4,i
initial,man4,m
final,man4,an
initial,wu2,w
final,wu2,u
initial,zhi3,zh
final,zhi3,i
initial,jing4,j
final,jing4,ing
initial,man4,m
final,man4,an
initial,cao3,c
final,cao3,ao
initial,nan2,n
final,nan2,an
initial,chu2,ch
final,chu2,u
initial,man4,m
final,man4,an
initial,man4,m
final,man4,an
initial,ri4,r
final,ri4,i
initial,mao4,m
final,mao4,ao
initial,man4,m
final,man4,an
initial,yin3,y
final,yin3,in
initial,zhu1,zh
final,zhu1,u
initial,qiu2,q
final,qiu2,iu
initial,mang2,m
final,mang2,ang
initial,bu4,b
final,bu4,u
initial,ze2,z
final,ze2,e
initial,jia4,j
final,jia4,ia
initial,mang2,m
final,mang2,ang
initial,li3,l
final,li3,i
initial,tou1,t
final,tou1,ou
initial,xian2,x
final,xian2,ian
initial,mang2,m
final,mang2,ang
initial,mang2,m
final,mang2,ang
initial,lu4,l
final,lu4,u
initial,lu4,l
final,lu4,u
initial,mang2,m
final,mang2,ang
initial,zhong1,zh
final,zhong1,ong
initial,you3,y
final,you3,ou
initial,cuo4,c
final,cuo4,uo
initial,mang2,m
final,mang2,ang
initial,zhong1,zh
final,zhong1,ong
initial,you3,y
final,you3,ou
initial,shi1,sh
final,shi1,i
initial,mang2,m
final,mang2,ang
initial,ci4,c
final,ci4,i
initial,zai4,z
final,zai4,ai
initial,bei4,b
final,bei4,ei
initial,mang2,m
final,mang2,ang
initial,han2,h
final,han2,an
initial,se4,s
final,se4,e
initial,zheng4,zh
final,zheng4,eng
initial,mang2,m
final,mang2,ang
initial,mang2,m
final,mang2,ang
initial,ku3,k
final,ku3,u
initial,hai3,h
final,hai3,ai
initial,mang2,m
final,mang2,ang
initial,xie2,x
final,xie2,ie
initial,zhu2,zh
final,zhu2,u
initial,li4,l
final,li4,i
initial,chou2,ch
final,chou2,ou
initial,mei2,m
final,mei2,ei
initial,hao4,h
final,hao4,ao
initial,fa1,f
final,fa1,a
initial,mang2,m
final,mang2,ang
initial,feng1,f
final,feng1,eng
initial,bao4,b
final,bao4,ao
initial,yu3,y
final,yu3,u
initial,mang2,m
final,mang2,ang
initial,feng1,f
final,feng1,eng
initial,du4,d
final,du4,u
initial,yu3,y
final,yu3,u
initial,mang2,m
final,mang2,ang
initial,feng1,f
final,feng1,eng
initial,guai4,g
final,guai4,uai
initial,yu3,y
final,yu3,u
initial,mang2,m
final,mang2,ang
initial,feng1,f
final,feng1,eng
initial,guai4,g
final,guai4,uai
initial,yun2,y
final,yun2,un
initial,mang2,m
final,mang2,ang
initial,feng1,f
final,feng1,eng
initial,hui4,h
final,hui4,ui
initial,yu3,y
final,yu3,u
initial,mang2,m
final,mang2,ang
initial,feng1,f
final,feng1,eng
initial,se4,s
final,se4,e
initial,yu3,y
final,yu3,u
initial,mang2,m
final,mang2,ang
initial,ren2,r
final,ren2,en
initial,ba3,b
final,ba3,a
initial,zhu2,zh
final,zhu2,u
initial,mang2,m
final,mang2,ang
initial,ren2,r
final,ren2,en
initial,men2,m
final,men2,en
initial,zhu2,zh
final,zhu2,u
initial,mang2,m
final,mang2,ang
initial,ren2,r
final,ren2,en
initial,mo1,m
final,mo1,o
initial,xiang4,x
final,xiang4,iang
initial,mang2,m
final,mang2,ang
initial,ren2,r
final,ren2,en
initial,shuo1,sh
final,shuo1,uo
initial,xiang4,x
final,xiang4,iang
initial,mang2,m
final,mang2,ang
initial,ren2,r
final,ren2,en
initial,xia1,x
final,xia1,ia
initial,ma3,m
final,ma3,a
initial,mang2,m
final,mang2,ang
initial,weng1,w
final,weng1,eng
initial,men2,m
final,men2,en
initial,yao4,y
final,yao4,ao
initial,mang2,m
final,mang2,ang
initial,weng1,w
final,weng1,eng
initial,men2,m
final,men2,en
initial,yue4,y
final,yue4,ue
initial,mang2,m
final,mang2,ang
initial,zhe3,zh
final,zhe3,e
initial,de2,d
final,de2,e
initial,jing4,j
final,jing4,ing
initial,mang2,m
final,mang2,ang
initial,mang2,m
final,mang2,ang
initial,ku3,k
final,ku3,u
initial,hai3,h
final,hai3,ai
initial,mang2,m
final,mang2,ang
initial,ran2,r
final,ran2,an
initial,bu4,b
final,bu4,u
initial,jie3,j
final,jie3,ie
initial,mang2,m
final,mang2,ang
initial,ran2,r
final,ran2,an
initial,ruo4,r
final,ruo4,uo
initial,shi1,sh
final,shi1,i
initial,mang2,m
final,mang2,ang
initial,ran2,r
final,ran2,an
initial,zi4,z
final,zi4,i
initial,shi1,sh
final,shi1,i
initial,mang2,m
final,mang2,ang
initial,wu2,w
final,wu2,u
initial,bian1,b
final,bian1,ian
initial,ji4,j
final,ji4,i
initial,mang2,m
final,mang2,ang
initial,wu2,w
final,wu2,u
initial,duan1,d
final,duan1,uan
initial,xu4,x
final,xu4,u
initial,mang2,m
final,mang2,ang
initial,wu2,w
final,wu2,u
initial,suo3,s
final,suo3,uo
initial,zhi1,zh
final,zhi1,i
initial,mang2,m
final,mang2,ang
initial,wu2,w
final,wu2,u
initial,tou2,t
final,tou2,ou
initial,xu4,x
final,xu4,u
initial,mang2,m
final,mang2,ang
initial,wu2,w
final,wu2,u
initial,ya2,y
final,ya2,a
initial,ji4,j
final,ji4,i
initial,mang3,m
final,mang3,ang
initial,pao2,p
final,pao2,ao
initial,yu4,y
final,yu4,u
initial,dai4,d
final,dai4,ai
initial,mao1,m
final,mao1,ao
initial,ku1,k
final,ku1,u
initial,lao3,l
final,lao3,ao
initial,shu3,sh
final,shu3,u
initial,mao1,m
final,mao1,ao
initial,shi4,sh
final,shi4,i
initial,ying1,y
final,ying1,ing
initial,wu3,w
final,wu3,u
initial,mao1,m
final,mao1,ao
initial,shu3,sh
final,shu3,u
initial,tong2,t
final,tong2,ong
initial,chu3,ch
final,chu3,u
initial,mao1,m
final,mao1,ao
initial,shu3,sh
final,shu3,u
initial,tong2,t
final,tong2,ong
initial,mian2,m
final,mian2,ian
initial,mao1,m
final,mao1,ao
initial,shu3,sh
final,shu3,u
initial,tong2,t
final,tong2,ong
initial,ru3,r
final,ru3,u
initial,mao2,m
final,mao2,ao
initial,fa1,f
final,fa1,a
initial,bu4,b
final,bu4,u
initial,shuang3,sh
final,shuang3,uang
initial,mao2,m
final,mao2,ao
initial,fa1,f
final,fa1,a
initial,dao3,d
final,dao3,ao
initial,shu4,sh
final,shu4,u
initial,mao2,m
final,mao2,ao
initial,fa4,f
final,fa4,a
initial,si1,s
final,si1,i
initial,su4,s
final,su4,u
initial,mao2,m
final,mao2,ao
initial,fa1,f
final,fa1,a
initial,song3,s
final,song3,ong
initial,ran2,r
final,ran2,an
initial,mao2,m
final,mao2,ao
initial,fa1,f
final,fa1,a
initial,song3,s
final,song3,ong
initial,ran2,r
final,ran2,an
initial,mao2,m
final,mao2,ao
initial,fa4,f
final,fa4,a
initial,zhi1,zh
final,zhi1,i
initial,gong1,g
final,gong1,ong
initial,mao2,m
final,mao2,ao
initial,gu3,g
final,gu3,u
initial,song3,s
final,song3,ong
initial,ran2,r
final,ran2,an
initial,mao2,m
final,mao2,ao
initial,gu3,g
final,gu3,u
initial,song3,s
final,song3,ong
initial,ran2,r
final,ran2,an
initial,mao2,m
final,mao2,ao
initial,gu3,g
final,gu3,u
initial,song3,s
final,song3,ong
initial,ran2,r
final,ran2,an
initial,mao2,m
final,mao2,ao
initial,ju3,j
final,ju3,u
initial,lv3,l
final,lv3,v
initial,xi1,x
final,xi1,i
initial,mao2,m
final,mao2,ao
initial,ju3,j
final,ju3,u
initial,xi4,x
final,xi4,i
initial,gu4,g
final,gu4,u
initial,mao2,m
final,mao2,ao
initial,ju3,j
final,ju3,u
initial,xi4,x
final,xi4,i
initial,wu4,w
final,wu4,u
initial,mao2,m
final,mao2,ao
initial,sen1,s
final,sen1,en
initial,gu3,g
final,gu3,u
initial,li4,l
final,li4,i
initial,mao2,m
final,mao2,ao
initial,shou3,sh
final,shou3,ou
initial,mao2,m
final,mao2,ao
initial,jiao3,j
final,jiao3,iao
initial,mao2,m
final,mao2,ao
initial,sui2,s
final,sui2,ui
initial,duo4,d
final,duo4,uo
initial,jing3,j
final,jing3,ing
initial,mao2,m
final,mao2,ao
initial,sui2,s
final,sui2,ui
initial,zi4,z
final,zi4,i
initial,jian4,j
final,jian4,ian
initial,mao2,m
final,mao2,ao
initial,yu3,y
final,yu3,u
initial,ling2,l
final,ling2,ing
initial,luo4,l
final,luo4,uo
initial,mao2,m
final,mao2,ao
initial,yu3,y
final,yu3,u
initial,wei4,w
final,wei4,ei
initial,feng1,f
final,feng1,eng
initial,mao2,m
final,mao2,ao
initial,ci4,c
final,ci4,i
initial,tu3,t
final,tu3,u
initial,jie1,j
final,jie1,ie
initial,mao2,m
final,mao2,ao
initial,lu2,l
final,lu2,u
initial,san1,s
final,san1,an
initial,gu4,g
final,gu4,u
initial,mao2,m
final,mao2,ao
initial,se4,s
final,se4,e
initial,dun4,d
final,dun4,un
initial,kai1,k
final,kai1,ai
initial,mao2,m
final,mao2,ao
initial,shi4,sh
final,shi4,i
initial,peng2,p
final,peng2,eng
initial,hu4,h
final,hu4,u
initial,mao2,m
final,mao2,ao
initial,wu1,w
final,wu1,u
initial,cai3,c
final,cai3,ai
initial,chuan2,ch
final,chuan2,uan
initial,mao4,m
final,mao4,ao
initial,lin2,l
final,lin2,in
initial,xiu1,x
final,xiu1,iu
initial,zhu2,zh
final,zhu2,u
initial,mao4,m
final,mao4,ao
initial,da4,d
final,da4,a
initial,bu4,b
final,bu4,u
initial,wei3,w
final,wei3,ei
initial,mao4,m
final,mao4,ao
initial,ming2,m
final,ming2,ing
initial,ding3,d
final,ding3,ing
initial,ti4,t
final,ti4,i
initial,mao4,m
final,mao4,ao
initial,ming2,m
final,ming2,ing
initial,jie3,j
final,jie3,ie
initial,jiao3,j
final,jiao3,iao
initial,mao4,m
final,mao4,ao
initial,shou3,sh
final,shou3,ou
initial,zhi1,zh
final,zhi1,i
initial,chou2,ch
final,chou2,ou
initial,mao4,m
final,mao4,ao
initial,shou3,sh
final,shou3,ou
initial,zhi1,zh
final,zhi1,i
initial,chou2,ch
final,chou2,ou
initial,mao4,m
final,mao4,ao
initial,he2,h
final,he2,e
initial,qing2,q
final,qing2,ing
initial,li2,l
final,li2,i
initial,mao4,m
final,mao4,ao
initial,he2,h
final,he2,e
initial,shen2,sh
final,shen2,en
initial,li2,l
final,li2,i
initial,mao4,m
final,mao4,ao
initial,he2,h
final,he2,e
initial,xin1,x
final,xin1,in
initial,li2,l
final,li2,i
initial,mao4,m
final,mao4,ao
initial,he2,h
final,he2,e
initial,xing2,x
final,xing2,ing
initial,li2,l
final,li2,i
initial,mao4,m
final,mao4,ao
initial,he2,h
final,he2,e
initial,xing2,x
final,xing2,ing
initial,li2,l
final,li2,i
initial,mao4,m
final,mao4,ao
initial,li2,l
final,li2,i
initial,shen2,sh
final,shen2,en
initial,he2,h
final,he2,e
initial,mao4,m
final,mao4,ao
initial,shi4,sh
final,shi4,i
initial,qing2,q
final,qing2,ing
initial,fei1,f
final,fei1,ei
initial,mao4,m
final,mao4,ao
initial,shi4,sh
final,shi4,i
initial,xin1,x
final,xin1,in
initial,fei1,f
final,fei1,ei
initial,mao4,m
final,mao4,ao
initial,si4,s
final,si4,i
initial,qiang2,q
final,qiang2,iang
initial,da4,d
final,da4,a
initial,mei2,m
final,mei2,ei
initial,cha2,ch
final,cha2,a
initial,mei2,m
final,mei2,ei
initial,li4,l
final,li4,i
initial,mo4,m
final,mo4,o
initial,chi3,ch
final,chi3,i
initial,bu4,b
final,bu4,u
initial,wang4,w
final,wang4,ang
initial,mo4,m
final,mo4,o
initial,chi3,ch
final,chi3,i
initial,nan2,n
final,nan2,an
initial,wang4,w
final,wang4,ang
initial,mo4,m
final,mo4,o
initial,chi3,ch
final,chi3,i
initial,wu2,w
final,wu2,u
initial,yuan4,y
final,yuan4,uan
initial,mei2,m
final,mei2,ei
initial,dian1,d
final,dian1,ian
initial,mei2,m
final,mei2,ei
initial,dao3,d
final,dao3,ao
initial,mei2,m
final,mei2,ei
final,er2,er
initial,bu4,b
final,bu4,u
initial,xiu3,x
final,xiu3,iu
initial,mei2,m
final,mei2,ei
initial,fa3,f
final,fa3,a
initial,mei2,m
final,mei2,ei
initial,tian1,t
final,tian1,ian
initial,mei2,m
final,mei2,ei
initial,fa3,f
final,fa3,a
initial,nai4,n
final,nai4,ai
initial,he2,h
final,he2,e
initial,mei2,m
final,mei2,ei
initial,ji4,j
final,ji4,i
initial,nai4,n
final,nai4,ai
initial,he2,h
final,he2,e
initial,mei2,m
final,mei2,ei
initial,jin1,j
final,jin1,in
initial,sha1,sh
final,sha1,a
initial,yu3,y
final,yu3,u
initial,mo4,m
final,mo4,o
initial,jin1,j
final,jin1,in
initial,yin3,y
final,yin3,in
initial,yu3,y
final,yu3,u
initial,mei2,m
final,mei2,ei
initial,jing1,j
final,jing1,ing
initial,da3,d
final,da3,a
initial,cai3,c
final,cai3,ai
initial,mei2,m
final,mei2,ei
initial,jing1,j
final,jing1,ing
initial,da3,d
final,da3,a
initial,cai3,c
final,cai3,ai
initial,mei2,m
final,mei2,ei
initial,jing1,j
final,jing1,ing
initial,mei2,m
final,mei2,ei
initial,cai3,c
final,cai3,ai
initial,mei2,m
final,mei2,ei
initial,jing1,j
final,jing1,ing
initial,ta1,t
final,ta1,a
initial,cai3,c
final,cai3,ai
initial,mei2,m
final,mei2,ei
initial,ke3,k
final,ke3,e
initial,nai4,n
final,nai4,ai
