:SRC_VID(string),:DST_VID(string),with_pinyin.position:int
屡战屡败,lv4,2
屡战屡败,bai4,3
履薄临深,lv3,0
履薄临深,bo2,1
履薄临深,lin2,2
履薄临深,shen1,3
履穿踵决,lv3,0
履穿踵决,chuan1,1
履穿踵决,zhong3,2
履穿踵决,jue2,3
履机乘变,lv3,0
履机乘变,ji1,1
履机乘变,cheng2,2
履机乘变,bian4,3
履仁蹈义,lv3,0
履仁蹈义,ren2,1
履仁蹈义,dao3,2
履仁蹈义,yi4,3
履霜坚冰,lv3,0
履霜坚冰,shuang1,1
履霜坚冰,jian1,2
履霜坚冰,bing1,3
履霜之戒,lv3,0
履霜之戒,shuang1,1
履霜之戒,zhi1,2
履霜之戒,jie4,3
履霜知冰,lv3,0
履霜知冰,shuang1,1
履霜知冰,zhi1,2
履霜知冰,bing1,3
履丝曳缟,lv3,0
履丝曳缟,si1,1
履丝曳缟,ye4,2
履丝曳缟,gao3,3
履汤蹈火,lv3,0
履汤蹈火,tang1,1
履汤蹈火,dao3,2
履汤蹈火,huo3,3
履舄交错,lv3,0
履舄交错,xi4,1
履舄交错,jiao1,2
履舄交错,cuo4,3
履险蹈危,lv3,0
履险蹈危,xian3,1
履险蹈危,dao3,2
履险蹈危,wei1,3
履险如夷,lv3,0
履险如夷,xian3,1
履险如夷,ru2,2
履险如夷,yi2,3
履险若夷,lv3,0
履险若夷,xian3,1
履险若夷,ruo4,2
履险若夷,yi2,3
履信思顺,lv3,0
履信思顺,xin4,1
履信思顺,si1,2
履信思顺,shun4,3
履盈蹈满,lv3,0
履盈蹈满,ying2,1
履盈蹈满,dao3,2
履盈蹈满,man3,3
履足差肩,lv3,0
履足差肩,zu2,1
履足差肩,cha4,2
履足差肩,jian1,3
虑周藻密,lv4,0
虑周藻密,zhou1,1
虑周藻密,zao3,2
虑周藻密,mi4,3
率尔操觚,shuai4,0
率尔操觚,er2,1
率尔操觚,cao1,2
率尔操觚,gu1,3
率尔成章,shuai4,0
率尔成章,er3,1
率尔成章,cheng2,2
率尔成章,zhang1,3
率马以骥,shuai4,0
率马以骥,ma3,1
率马以骥,yi3,2
率马以骥,ji4,3
率兽食人,shuai4,0
率兽食人,shou4,1
率兽食人,shi2,2
率兽食人,ren2,3
率土归心,shuai4,0
率土归心,tu3,1
率土归心,gui1,2
率土归心,xin1,3
率土同庆,shuai4,0
率土同庆,tu3,1
率土同庆,tong2,2
率土同庆,qing4,3
率土宅心,shuai4,0
率土宅心,tu3,1
率土宅心,zhai2,2
率土宅心,xin1,3
率土之滨,lv4,0
率土之滨,tu3,1
率土之滨,zhi1,2
率土之滨,bin1,3
率以为常,shuai4,0
率以为常,yi3,1
率以为常,wei2,2
率以为常,chang2,3
率由旧则,shuai4,0
率由旧则,you2,1
率由旧则,jiu4,2
率由旧则,ze2,3
率由旧章,shuai4,0
率由旧章,you2,1
率由旧章,jiu4,2
率由旧章,zhang1,3
绿暗红稀,lv4,0
绿暗红稀,an4,1
绿暗红稀,hong2,2
绿暗红稀,xi1,3
绿鬓红颜,lv4,0
绿鬓红颜,bin4,1
绿鬓红颜,hong2,2
绿鬓红颜,yan2,3
绿鬓朱颜,lv4,0
绿鬓朱颜,bin4,1
绿鬓朱颜,zhu1,2
绿鬓朱颜,yan2,3
绿惨红愁,lv4,0
绿惨红愁,can3,1
绿惨红愁,hong2,2
绿惨红愁,chou2,3
绿惨红销,lv4,0
绿惨红销,can3,1
绿惨红销,hong2,2
绿惨红销,xiao1,3
绿草如茵,lv4,0
绿草如茵,cao3,1
绿草如茵,ru2,2
绿草如茵,yin1,3
绿肥红瘦,lv4,0
绿肥红瘦,fei2,1
绿肥红瘦,hong2,2
绿肥红瘦,shou4,3
绿酒红灯,lv4,0
绿酒红灯,jiu3,1
绿酒红灯,hong2,2
绿酒红灯,deng1,3
绿林大盗,lu4,0
绿林大盗,lin2,1
绿林大盗,da4,2
绿林大盗,dao4,3
绿林豪杰,lu4,0
绿林豪杰,lin2,1
绿林豪杰,hao2,2
绿林豪杰,jie2,3
绿林豪客,lu4,0
绿林豪客,lin2,1
绿林豪客,hao2,2
绿林豪客,ke4,3
绿林豪士,lu4,0
绿林豪士,lin2,1
绿林豪士,hao2,2
绿林豪士,shi4,3
绿林好汉,lu4,0
绿林好汉,lin2,1
绿林好汉,hao3,2
绿林好汉,han4,3
绿林强盗,lu4,0
绿林强盗,lin2,1
绿林强盗,qiang2,2
绿林强盗,dao4,3
绿女红男,lv4,0
绿女红男,nv3,1
绿女红男,hong2,2
绿女红男,nan2,3
绿水青山,lv4,0
绿水青山,shui3,1
绿水青山,qing1,2
绿水青山,shan1,3
绿蓑青笠,lv4,0
绿蓑青笠,suo1,1
绿蓑青笠,qing1,2
绿蓑青笠,li4,3
绿叶成阴,lv4,0
绿叶成阴,ye4,1
绿叶成阴,cheng2,2
绿叶成阴,yin1,3
绿叶成荫,lv4,0
绿叶成荫,ye4,1
绿叶成荫,cheng2,2
绿叶成荫,yin1,3
绿衣黄里,lv4,0
绿衣黄里,yi1,1
绿衣黄里,huang2,2
绿衣黄里,li3,3
绿衣使者,lv4,0
绿衣使者,yi1,1
绿衣使者,shi3,2
绿衣使者,zhe3,3
鸾翱凤翥,luan2,0
鸾翱凤翥,ao2,1
鸾翱凤翥,feng4,2
鸾翱凤翥,zhu4,3
鸾俦凤侣,luan2,0
鸾俦凤侣,chou2,1
鸾俦凤侣,feng4,2
鸾俦凤侣,lv3,3
鸾颠凤倒,luan2,0
鸾颠凤倒,dian1,1
鸾颠凤倒,feng4,2
鸾颠凤倒,dao3,3
鸾飞凤舞,luan2,0
鸾飞凤舞,fei1,1
鸾飞凤舞,feng4,2
鸾飞凤舞,wu3,3
鸾飞凤翥,luan2,0
鸾飞凤翥,fei1,1
鸾飞凤翥,feng4,2
鸾飞凤翥,zhu4,3
鸾分凤离,luan2,0
鸾分凤离,fen1,1
鸾分凤离,feng4,2
鸾分凤离,li2,3
鸾凤分飞,luan2,0
鸾凤分飞,feng4,1
鸾凤分飞,fen1,2
鸾凤分飞,fei1,3
鸾凤和鸣,luan2,0
鸾凤和鸣,feng4,1
鸾凤和鸣,he4,2
鸾凤和鸣,ming2,3
鸾歌凤吹,luan2,0
鸾歌凤吹,ge1,1
鸾歌凤吹,feng4,2
鸾歌凤吹,chui2,3
鸾歌凤舞,luan2,0
鸾歌凤舞,ge1,1
鸾歌凤舞,feng4,2
鸾歌凤舞,wu3,3
鸾孤凤寡,luan2,0
鸾孤凤寡,gu1,1
鸾孤凤寡,feng4,2
鸾孤凤寡,gua3,3
鸾孤凤只,luan2,0
鸾孤凤只,gu1,1
鸾孤凤只,feng4,2
鸾孤凤只,zhi1,3
鸾鹄停峙,luan2,0
鸾鹄停峙,hu2,1
鸾鹄停峙,ting2,2
鸾鹄停峙,zhi4,3
鸾鹄在庭,luan2,0
鸾鹄在庭,gu3,1
鸾鹄在庭,zai4,2
鸾鹄在庭,ting2,3
鸾回凤翥,luan2,0
鸾回凤翥,hui2,1
鸾回凤翥,feng4,2
鸾回凤翥,zhu4,3
鸾交凤俦,luan2,0
鸾交凤俦,jiao1,1
鸾交凤俦,feng4,2
鸾交凤俦,chou2,3
鸾交凤友,luan2,0
鸾交凤友,jiao1,1
鸾交凤友,feng4,2
鸾交凤友,you3,3
鸾胶凤丝,luan2,0
鸾胶凤丝,jiao1,1
鸾胶凤丝,feng4,2
鸾胶凤丝,si1,3
鸾鸣凤奏,luan2,0
鸾鸣凤奏,ming2,1
鸾鸣凤奏,feng4,2
鸾鸣凤奏,zou4,3
鸾漂凤泊,luan2,0
鸾漂凤泊,piao1,1
鸾漂凤泊,feng4,2
鸾漂凤泊,bo2,3
鸾飘凤泊,luan2,0
鸾飘凤泊,piao1,1
鸾飘凤泊,feng4,2
鸾飘凤泊,bo2,3
鸾跂鸿惊,luan2,0
鸾跂鸿惊,qi2,1
鸾跂鸿惊,hong2,2
鸾跂鸿惊,jing1,3
鸾停鹄峙,luan2,0
鸾停鹄峙,ting2,1
鸾停鹄峙,hu2,2
鸾停鹄峙,zhi4,3
鸾翔凤集,luan2,0
鸾翔凤集,xiang2,1
鸾翔凤集,feng4,2
鸾翔凤集,ji2,3
鸾翔凤翥,luan2,0
鸾翔凤翥,xiang2,1
鸾翔凤翥,feng4,2
鸾翔凤翥,zhu4,3
鸾音鹤信,luan2,0
鸾音鹤信,yin1,1
鸾音鹤信,he4,2
鸾音鹤信,xin4,3
鸾吟凤唱,luan2,0
鸾吟凤唱,yin2,1
鸾吟凤唱,feng4,2
鸾吟凤唱,chang4,3
鸾舆凤驾,luan2,0
鸾舆凤驾,yu2,1
鸾舆凤驾,feng4,2
鸾舆凤驾,jia4,3
鸾只凤单,luan2,0
鸾只凤单,zhi1,1
鸾只凤单,feng4,2
鸾只凤单,dan1,3
鸾姿凤态,luan2,0
鸾姿凤态,zi1,1
鸾姿凤态,feng4,2
鸾姿凤态,tai4,3
卵覆鸟飞,luan2,0
卵覆鸟飞,fu4,1
卵覆鸟飞,niao3,2
卵覆鸟飞,fei1,3
卵石不敌,luan3,0
卵石不敌,shi2,1
卵石不敌,bu4,2
卵石不敌,di2,3
卵与石斗,luan3,0
卵与石斗,yu3,1
卵与石斗,shi2,2
卵与石斗,dou4,3
乱臣贼子,luan4,0
乱臣贼子,chen2,1
乱臣贼子,zei2,2
乱臣贼子,zi3,3
乱点鸳鸯,luan4,0
乱点鸳鸯,dian3,1
乱点鸳鸯,yuan1,2
乱点鸳鸯,yang1,3
乱箭攒心,luan4,0
乱箭攒心,jian4,1
乱箭攒心,cuan2,2
乱箭攒心,xin1,3
乱七八遭,luan4,0
乱七八遭,qi1,1
乱七八遭,ba1,2
乱七八遭,zao1,3
乱七八糟,luan4,0
乱七八糟,qi1,1
乱七八糟,ba1,2
乱七八糟,zao1,3
乱琼碎玉,luan4,0
乱琼碎玉,qiong2,1
乱琼碎玉,sui4,2
乱琼碎玉,yu4,3
乱世凶年,luan4,0
乱世凶年,shi4,1
乱世凶年,xiong1,2
乱世凶年,nian2,3
乱世英雄,luan4,0
乱世英雄,shi4,1
乱世英雄,ying1,2
乱世英雄,xiong2,3
乱首垢面,luan4,0
乱首垢面,shou3,1
乱首垢面,gou4,2
乱首垢面,mian4,3
乱头粗服,luan4,0
乱头粗服,tou2,1
乱头粗服,cu1,2
乱头粗服,fu2,3
乱语胡言,luan4,0
乱语胡言,yu3,1
乱语胡言,hu2,2
乱语胡言,yan2,3
乱坠天花,luan4,0
乱坠天花,zhui4,1
乱坠天花,tian1,2
乱坠天花,hua1,3
乱作胡为,luan4,0
乱作胡为,zuo4,1
乱作胡为,hu2,2
乱作胡为,wei2,3
乱作一团,luan4,0
乱作一团,zuo4,1
乱作一团,yi1,2
乱作一团,tuan2,3
掠地攻城,lve4,0
掠地攻城,di4,1
掠地攻城,gong1,2
掠地攻城,cheng2,3
掠美市恩,lve3,0
掠美市恩,mei3,1
掠美市恩,shi4,2
掠美市恩,en1,3
掠人之美,lve4,0
掠人之美,ren2,1
掠人之美,zhi1,2
掠人之美,mei3,3
掠影浮光,lve4,0
掠影浮光,ying3,1
掠影浮光,fu2,2
掠影浮光,guang1,3
略高一筹,lve4,0
略高一筹,gao1,1
略高一筹,yi1,2
略高一筹,chou2,3
略迹论心,lve4,0
略迹论心,ji4,1
略迹论心,lun4,2
略迹论心,xin1,3
略迹原情,lve4,0
略迹原情,ji4,1
略迹原情,yuan2,2
略迹原情,qing2,3
略迹原心,lve4,0
略迹原心,ji4,1
略迹原心,yuan2,2
略迹原心,xin1,3
略见一斑,lve4,0
略见一斑,jian4,1
略见一斑,yi1,2
略见一斑,ban1,3
略窥一斑,lve4,0
略窥一斑,kui1,1
略窥一斑,yi1,2
略窥一斑,ban1,3
略胜一筹,lve4,0
略胜一筹,sheng4,1
略胜一筹,yi1,2
略胜一筹,chou2,3
略识之无,lve4,0
略识之无,shi2,1
略识之无,zhi1,2
略识之无,wu2,3
略无忌惮,lve4,0
略无忌惮,wu2,1
略无忌惮,ji4,2
略无忌惮,dan4,3
略逊一筹,lve4,0
略逊一筹,xun4,1
略逊一筹,yi1,2
略逊一筹,chou2,3
略知皮毛,lve4,0
略知皮毛,zhi1,1
略知皮毛,pi2,2
略知皮毛,mao2,3
略知一二,lve4,0
略知一二,zhi1,1
略知一二,yi1,2
略知一二,er4,3
沦肌浃髓,lun2,0
沦肌浃髓,ji1,1
沦肌浃髓,jia1,2
沦肌浃髓,sui3,3
沦浃肌髓,lun2,0
沦浃肌髓,jia1,1
沦浃肌髓,ji1,2
沦浃肌髓,sui3,3
沦落风尘,lun2,0
沦落风尘,luo4,1
沦落风尘,feng1,2
沦落风尘,chen2,3
纶巾羽扇,guan1,0
纶巾羽扇,jin1,1
纶巾羽扇,yu3,2
纶巾羽扇,shan4,3
纶音佛语,lun2,0
纶音佛语,yin1,1
纶音佛语,fo2,2
纶音佛语,yu3,3
轮扁斫轮,lun2,0
轮扁斫轮,bian3,1
轮扁斫轮,zhuo2,2
轮扁斫轮,lun2,3
轮焉奂焉,lun2,0
轮焉奂焉,yan1,1
轮焉奂焉,huan4,2
轮焉奂焉,yan1,3
论辩风生,lun4,0
论辩风生,bian4,1
论辩风生,feng1,2
论辩风生,sheng1,3
论长道短,lun4,0
论长道短,chang2,1
论长道短,dao4,2
论长道短,duan3,3
论长说短,lun4,0
论长说短,chang2,1
论长说短,shuo1,2
论长说短,duan3,3
论道经邦,lun4,0
论道经邦,dao4,1
论道经邦,jing1,2
论道经邦,bang1,3
论德使能,lun4,0
论德使能,de2,1
论德使能,shi3,2
论德使能,neng2,3
论短道长,lun4,0
论短道长,duan3,1
论短道长,dao4,2
论短道长,chang2,3
论甘忌辛,lun4,0
论甘忌辛,gan1,1
论甘忌辛,ji4,2
论甘忌辛,xin1,3
论高寡合,lun4,0
论高寡合,gao1,1
论高寡合,gua3,2
论高寡合,he2,3
论功封赏,lun4,0
论功封赏,gong1,1
论功封赏,feng1,2
论功封赏,shang3,3
论功受赏,lun4,0
论功受赏,gong1,1
论功受赏,shou4,2
论功受赏,shang3,3
论功行封,lun4,0
论功行封,gong1,1
论功行封,xing2,2
论功行封,feng1,3
论功行赏,lun4,0
论功行赏,gong1,1
论功行赏,xing2,2
论功行赏,shang3,3
论黄数白,lun4,0
论黄数白,huang2,1
论黄数白,shu4,2
论黄数白,bai2,3
论黄数黑,lun4,0
论黄数黑,huang2,1
论黄数黑,shu3,2
论黄数黑,hei1,3
论今说古,lun4,0
论今说古,jin1,1
论今说古,shuo1,2
论今说古,gu3,3
论列是非,lun4,0
论列是非,lie4,1
论列是非,shi4,2
论列是非,fei1,3
论千论万,lun4,0
论千论万,qian1,1
论千论万,lun4,2
论千论万,wan4,3
论世知人,lun4,0
论世知人,shi4,1
论世知人,zhi1,2
论世知人,ren2,3
论心定罪,lun4,0
论心定罪,xin1,1
论心定罪,ding4,2
论心定罪,zui4,3
论议风生,lun4,0
论议风生,yi4,1
论议风生,feng1,2
论议风生,sheng1,3
论资排辈,lun4,0
论资排辈,zi1,1
论资排辈,pai2,2
论资排辈,bei4,3
捋袖揎拳,luo1,0
捋袖揎拳,xiu4,1
捋袖揎拳,xuan1,2
捋袖揎拳,quan2,3
罗敷有夫,luo2,0
罗敷有夫,fu1,1
罗敷有夫,you3,2
罗敷有夫,fu1,3
罗掘俱穷,luo2,0
罗掘俱穷,jue2,1
罗掘俱穷,ju4,2
罗掘俱穷,qiong2,3
罗掘一空,luo2,0
罗掘一空,jue2,1
罗掘一空,yi1,2
罗掘一空,kong1,3
罗钳吉网,luo2,0
罗钳吉网,qian2,1
罗钳吉网,ji2,2
罗钳吉网,wang3,3
罗雀掘鼠,luo2,0
罗雀掘鼠,que4,1
罗雀掘鼠,jue2,2
罗雀掘鼠,shu3,3
罗之一目,luo2,0
罗之一目,zhi1,1
罗之一目,yi1,2
罗之一目,mu4,3
罗织构陷,luo4,0
罗织构陷,zhi1,1
罗织构陷,gou4,2
罗织构陷,xian4,3
罗织罪名,luo2,0
罗织罪名,zhi1,1
罗织罪名,zui4,2
罗织罪名,ming2,3
锣鼓喧天,luo2,0
锣鼓喧天,gu3,1
锣鼓喧天,xuan1,2
锣鼓喧天,tian1,3
裸裎袒裼,luo3,0
裸裎袒裼,cheng2,1
裸裎袒裼,tan3,2
裸裎袒裼,xi1,3
裸袖揎拳,luo3,0
裸袖揎拳,xiu4,1
裸袖揎拳,xuan1,2
裸袖揎拳,quan2,3
攞袖揎拳,luo3,0
攞袖揎拳,xiu4,1
攞袖揎拳,xuan1,2
攞袖揎拳,quan2,3
洛阳才子,luo4,0
洛阳才子,yang2,1
洛阳才子,cai2,2
洛阳才子,zi,3
洛阳纸贵,luo4,0
洛阳纸贵,yang2,1
洛阳纸贵,zhi3,2
洛阳纸贵,gui4,3
络绎不绝,luo4,0
络绎不绝,yi4,1
络绎不绝,bu4,2
络绎不绝,jue2,3
荦荦大端,luo4,0
荦荦大端,luo4,1
荦荦大端,da4,2
荦荦大端,duan1,3
荦荦大者,luo4,0
荦荦大者,luo4,1
荦荦大者,da4,2
荦荦大者,zhe3,3
荦荦确确,luo4,0
荦荦确确,luo4,1
荦荦确确,que4,2
荦荦确确,que4,3
骆驿不绝,luo4,0
骆驿不绝,yi4,1
骆驿不绝,bu4,2
骆驿不绝,jue2,3
落草为寇,luo4,0
落草为寇,cao3,1
落草为寇,wei2,2
落草为寇,kou4,3
落地生根,luo4,0
落地生根,di4,1
落地生根,sheng1,2
落地生根,gen1,3
落花流水,luo4,0
落花流水,hua1,1
落花流水,liu2,2
落花流水,shui3,3
落花无言,luo4,0
落花无言,hua1,1
落花无言,wu2,2
落花无言,yan2,3
落荒而逃,luo4,0
落荒而逃,huang1,1
落荒而逃,er2,2
落荒而逃,tao2,3
落荒而走,luo4,0
落荒而走,huang1,1
落荒而走,er2,2
落荒而走,zou3,3
落井投石,luo4,0
落井投石,jing3,1
落井投石,tou2,2
落井投石,shi2,3
落井下石,luo4,0
落井下石,jing3,1
落井下石,xia4,2
落井下石,shi2,3
落阱下石,luo4,0
落阱下石,jing3,1
落阱下石,xia4,2
落阱下石,shi2,3
落落大方,luo4,0
落落大方,luo4,1
落落大方,da4,2
落落大方,fang1,3
落落寡合,luo4,0
落落寡合,luo4,1
落落寡合,gua3,2
落落寡合,he2,3
落落穆穆,luo4,0
落落穆穆,luo4,1
落落穆穆,mu4,2
落落穆穆,mu4,3
落落难合,luo4,0
落落难合,luo4,1
落落难合,nan2,2
落落难合,he2,3
落魄不羁,luo4,0
落魄不羁,po4,1
落魄不羁,bu4,2
落魄不羁,ji1,3
落魄不偶,luo,0
落魄不偶,tuo,1
落魄不偶,bu,2
落魄不偶,ou,3
落魄江湖,luo4,0
落魄江湖,po4,1
落魄江湖,jing1,2
落魄江湖,hu2,3
落汤螃蟹,luo4,0
落汤螃蟹,tang1,1
落汤螃蟹,pang2,2
落汤螃蟹,xie4,3
落拓不羁,luo4,0
落拓不羁,tuo4,1
落拓不羁,bu4,2
落拓不羁,ji1,3
落雁沉鱼,luo4,0
落雁沉鱼,yan4,1
落雁沉鱼,chen2,2
落雁沉鱼,yu2,3
落叶归根,luo4,0
落叶归根,ye4,1
落叶归根,gui1,2
落叶归根,gen1,3
落叶知秋,luo4,0
落叶知秋,ye4,1
落叶知秋,zhi1,2
落叶知秋,qiu1,3
落英缤纷,luo4,0
落英缤纷,ying1,1
落英缤纷,bin1,2
落英缤纷,fen1,3
落月屋梁,luo4,0
落月屋梁,yue4,1
落月屋梁,wu1,2
落月屋梁,liang2,3
落纸云烟,luo4,0
落纸云烟,zhi3,1
落纸云烟,yun2,2
落纸云烟,yan1,3
麻痹不仁,ma2,0
麻痹不仁,bi4,1
麻痹不仁,bu4,2
麻痹不仁,ren2,3
麻痹大意,ma2,0
麻痹大意,bi4,1
麻痹大意,da4,2
麻痹大意,yi4,3
麻痺不仁,ma2,0
麻痺不仁,bi4,1
麻痺不仁,bu4,2
麻痺不仁,ren2,3
麻姑献寿,ma2,0
麻姑献寿,gu1,1
麻姑献寿,xian4,2
麻姑献寿,shou4,3
麻木不仁,ma2,0
麻木不仁,mu4,1
麻木不仁,bu4,2
麻木不仁,ren2,3
马勃牛溲,ma3,0
马勃牛溲,bo2,1
马勃牛溲,niu2,2
马勃牛溲,sou1,3
马浡牛溲,ma3,0
马浡牛溲,bo2,1
马浡牛溲,niu2,2
马浡牛溲,sou1,3
马不解鞍,ma3,0
马不解鞍,bu4,1
马不解鞍,jie3,2
马不解鞍,an1,3
马不停蹄,ma3,0
马不停蹄,bu4,1
马不停蹄,ting2,2
马不停蹄,ti2,3
马尘不及,ma3,0
马尘不及,chen2,1
马尘不及,bu4,2
马尘不及,ji2,3
马迟枚疾,ma3,0
马迟枚疾,chi2,1
马迟枚疾,mei2,2
马迟枚疾,ji2,3
马齿徒长,ma3,0
马齿徒长,chi3,1
马齿徒长,tu2,2
马齿徒长,zhang3,3
马齿徒增,ma3,0
马齿徒增,chi3,1
马齿徒增,tu2,2
马齿徒增,zeng1,3
马到成功,ma3,0
马到成功,dao4,1
马到成功,cheng2,2
马到成功,gong1,3
马到功成,ma3,0
马到功成,dao4,1
马到功成,gong1,2
马到功成,cheng2,3
马耳春风,ma3,0
马耳春风,er3,1
马耳春风,chun1,2
马耳春风,feng1,3
马耳东风,ma3,0
马耳东风,er3,1
马耳东风,dong1,2
马耳东风,feng1,3
马翻人仰,ma3,0
马翻人仰,fan1,1
马翻人仰,ren2,2
马翻人仰,yang3,3
马放南山,ma3,0
马放南山,fang4,1
马放南山,nan2,2
马放南山,shan1,3
马腹逃鞭,ma3,0
马腹逃鞭,fu4,1
马腹逃鞭,tao2,2
马腹逃鞭,bian1,3
马革裹尸,ma3,0
马革裹尸,ge2,1
马革裹尸,guo3,2
马革裹尸,shi1,3
马革盛尸,ma3,0
马革盛尸,ge2,1
马革盛尸,sheng4,2
马革盛尸,shi1,3
马工枚速,ma3,0
马工枚速,gong1,1
马工枚速,mei2,2
马工枚速,su4,3
马迹蛛丝,ma3,0
马迹蛛丝,ji4,1
马迹蛛丝,zhu1,2
马迹蛛丝,si1,3
马角乌白,ma3,0
马角乌白,jiao3,1
马角乌白,wu1,2
马角乌白,bai2,3
马角乌头,ma3,0
马角乌头,jiao3,1
马角乌头,wu1,2
马角乌头,tou2,3
马空冀北,ma3,0
马空冀北,kong1,1
马空冀北,ji4,2
马空冀北,bei3,3
马龙车水,ma3,0
马龙车水,long2,1
马龙车水,che1,2
马龙车水,shui3,3
马鹿异形,ma3,0
马鹿异形,lu4,1
马鹿异形,yi4,2
马鹿异形,xing2,3
马鹿易形,ma3,0
马鹿易形,lu4,1
马鹿易形,yi4,2
马鹿易形,xing2,3
马马虎虎,ma3,0
马马虎虎,ma3,1
马马虎虎,hu3,2
马马虎虎,hu3,3
马毛猬磔,ma3,0
马毛猬磔,mao2,1
马毛猬磔,wei4,2
马毛猬磔,zhe2,3
马毛蝟磔,ma3,0
马毛蝟磔,mao2,1
马毛蝟磔,wei4,2
马毛蝟磔,zhe2,3
马面牛头,ma3,0
马面牛头,mian4,1
马面牛头,niu2,2
马面牛头,tou2,3
马牛襟裾,ma3,0
马牛襟裾,niu2,1
马牛襟裾,jin1,2
马牛襟裾,ju1,3
马牛其风,ma3,0
马牛其风,niu2,1
马牛其风,qi2,2
马牛其风,feng1,3
马前泼水,ma3,0
马前泼水,qian2,1
马前泼水,po1,2
马前泼水,shui3,3
马去马归,ma3,0
马去马归,qu4,1
马去马归,ma3,2
马去马归,gui1,3
马如流水,ma3,0
马如流水,ru2,1
马如流水,liu2,2
马如流水,shui3,3
马如游龙,ma3,0
马如游龙,ru2,1
马如游龙,you2,2
马如游龙,long2,3
马如游鱼,ma3,0
马如游鱼,ru2,1
马如游鱼,you2,2
马如游鱼,yu2,3
马入华山,ma3,0
马入华山,ru4,1
马入华山,hua4,2
马入华山,shan1,3
马上房子,ma3,0
马上房子,shang4,1
马上房子,fang2,2
马上房子,zi,3
马上功成,ma3,0
马上功成,shang4,1
马上功成,gong1,2
马上功成,cheng2,3
马上看花,ma3,0
马上看花,shang4,1
马上看花,kan4,2
马上看花,hua1,3
马上墙头,ma3,0
马上墙头,shang4,1
马上墙头,qiang2,2
马上墙头,tou2,3
马首是瞻,ma3,0
马首是瞻,shou3,1
马首是瞻,shi4,2
马首是瞻,zhan1,3
马首欲东,ma3,0
马首欲东,shou3,1
马首欲东,yu4,2
马首欲东,dong1,3
马瘦毛长,ma3,0
马瘦毛长,shou4,1
马瘦毛长,mao2,2
马瘦毛长,chang2,3
马水车龙,ma3,0
马水车龙,shui3,1
马水车龙,che1,2
马水车龙,long2,3
马咽车阗,ma3,0
马咽车阗,yan1,1
马咽车阗,che1,2
马咽车阗,tian2,3
马仰人翻,ma3,0
马仰人翻,yang3,1
马仰人翻,ren2,2
马仰人翻,fan1,3
马中关五,ma3,0
马中关五,zhong1,1
马中关五,guan1,2
马中关五,wu3,3
马壮人强,ma3,0
马壮人强,zhuang4,1
马壮人强,ren2,2
马壮人强,qiang2,3
马捉老鼠,ma3,0
马捉老鼠,zhuo1,1
马捉老鼠,lao3,2
马捉老鼠,shu3,3
马足车尘,ma3,0
马足车尘,zu2,1
马足车尘,che1,2
马足车尘,chen2,3
马足龙沙,ma3,0
马足龙沙,zu2,1
马足龙沙,long2,2
马足龙沙,sha1,3
蚂蚁缘槐,ma3,0
蚂蚁缘槐,yi3,1
蚂蚁缘槐,yuan2,2
蚂蚁缘槐,huai2,3
骂不绝口,ma4,0
骂不绝口,bu4,1
骂不绝口,jue2,2
骂不绝口,kou3,3
骂天扯地,ma4,0
骂天扯地,tian1,1
骂天扯地,che3,2
骂天扯地,di4,3
骂天咒地,ma4,0
骂天咒地,tian1,1
骂天咒地,zhou4,2
骂天咒地,di4,3
埋轮破柱,mai2,0
埋轮破柱,lun2,1
埋轮破柱,po4,2
埋轮破柱,zhu4,3
埋声晦迹,mai2,0
埋声晦迹,sheng1,1
埋声晦迹,hui4,2
埋声晦迹,ji4,3
埋天怨地,man2,0
埋天怨地,tian1,1
埋天怨地,yuan4,2
埋天怨地,di4,3
埋头顾影,mai2,0
埋头顾影,tou2,1
埋头顾影,gu4,2
埋头顾影,ying3,3
埋头苦干,mai2,0
埋头苦干,tou2,1
埋头苦干,ku3,2
埋头苦干,gan4,3
买菜求益,mai3,0
买菜求益,cai4,1
买菜求益,qiu2,2
买菜求益,yi4,3
买臣覆水,mai3,0
买臣覆水,chen2,1
买臣覆水,fu4,2
买臣覆水,shui3,3
买东买西,mai3,0
买东买西,dong1,1
买东买西,mai3,2
买东买西,xi1,3
买椟还珠,mai3,0
买椟还珠,du2,1
买椟还珠,huan2,2
买椟还珠,zhu1,3
买犊卖刀,mai3,0
买犊卖刀,du2,1
买犊卖刀,mai4,2
买犊卖刀,dao1,3
买官鬻爵,mai3,0
买官鬻爵,guan1,1
买官鬻爵,yu4,2
买官鬻爵,jue2,3
买贱卖贵,mai3,0
买贱卖贵,jian4,1
买贱卖贵,mai4,2
买贱卖贵,gui4,3
买静求安,mai3,0
买静求安,jing4,1
买静求安,qiu2,2
买静求安,an1,3
买爵贩官,mai3,0
买爵贩官,jue2,1
买爵贩官,fan4,2
买爵贩官,guan1,3
买空卖空,mai3,0
买空卖空,kong1,1
买空卖空,mai4,2
买空卖空,kong1,3
买犁卖剑,mai3,0
买犁卖剑,li2,1
买犁卖剑,mai4,2
买犁卖剑,jian4,3
买马招兵,mai3,0
买马招兵,ma3,1
买马招兵,zhao1,2
买马招兵,bing1,3
买马招军,mai3,0
买马招军,ma3,1
买马招军,zhao1,2
买马招军,jun1,3
买牛卖剑,mai3,0
买牛卖剑,niu2,1
买牛卖剑,mai4,2
