:VID(string),idiom.pinyin:string
罗掘一空,"['luo2', 'jue2', 'yi1', 'kong1']"
罗钳吉网,"['luo2', 'qian2', 'ji2', 'wang3']"
罗雀掘鼠,"['luo2', 'que4', 'jue2', 'shu3']"
罗之一目,"['luo2', 'zhi1', 'yi1', 'mu4']"
罗织构陷,"['luo4', 'zhi1', 'gou4', 'xian4']"
罗织罪名,"['luo2', 'zhi1', 'zui4', 'ming2']"
锣鼓喧天,"['luo2', 'gu3', 'xuan1', 'tian1']"
裸裎袒裼,"['luo3', 'cheng2', 'tan3', 'xi1']"
裸袖揎拳,"['luo3', 'xiu4', 'xuan1', 'quan2']"
攞袖揎拳,"['luo3', 'xiu4', 'xuan1', 'quan2']"
洛阳才子,"['luo4', 'yang2', 'cai2', 'zi']"
洛阳纸贵,"['luo4', 'yang2', 'zhi3', 'gui4']"
络绎不绝,"['luo4', 'yi4', 'bu4', 'jue2']"
荦荦大端,"['luo4', 'luo4', 'da4', 'duan1']"
荦荦大者,"['luo4', 'luo4', 'da4', 'zhe3']"
荦荦确确,"['luo4', 'luo4', 'que4', 'que4']"
骆驿不绝,"['luo4', 'yi4', 'bu4', 'jue2']"
落草为寇,"['luo4', 'cao3', 'wei2', 'kou4']"
落地生根,"['luo4', 'di4', 'sheng1', 'gen1']"
落花流水,"['luo4', 'hua1', 'liu2', 'shui3']"
落花无言,"['luo4', 'hua1', 'wu2', 'yan2']"
落荒而逃,"['luo4', 'huang1', 'er2', 'tao2']"
落荒而走,"['luo4', 'huang1', 'er2', 'zou3']"
落井投石,"['luo4', 'jing3', 'tou2', 'shi2']"
落井下石,"['luo4', 'jing3', 'xia4', 'shi2']"
落阱下石,"['luo4', 'jing3', 'xia4', 'shi2']"
落落大方,"['luo4', 'luo4', 'da4', 'fang1']"
落落寡合,"['luo4', 'luo4', 'gua3', 'he2']"
落落穆穆,"['luo4', 'luo4', 'mu4', 'mu4']"
落落难合,"['luo4', 'luo4', 'nan2', 'he2']"
落魄不羁,"['luo4', 'po4', 'bu4', 'ji1']"
落魄不偶,"['luo', 'tuo', 'bu', 'ou']"
落魄江湖,"['luo4', 'po4', 'jing1', 'hu2']"
落汤螃蟹,"['luo4', 'tang1', 'pang2', 'xie4']"
落拓不羁,"['luo4', 'tuo4', 'bu4', 'ji1']"
落雁沉鱼,"['luo4', 'yan4', 'chen2', 'yu2']"
落叶归根,"['luo4', 'ye4', 'gui1', 'gen1']"
落叶知秋,"['luo4', 'ye4', 'zhi1', 'qiu1']"
落英缤纷,"['luo4', 'ying1', 'bin1', 'fen1']"
落月屋梁,"['luo4', 'yue4', 'wu1', 'liang2']"
落纸云烟,"['luo4', 'zhi3', 'yun2', 'yan1']"
麻痹不仁,"['ma2', 'bi4', 'bu4', 'ren2']"
麻痹大意,"['ma2', 'bi4', 'da4', 'yi4']"
麻痺不仁,"['ma2', 'bi4', 'bu4', 'ren2']"
麻姑献寿,"['ma2', 'gu1', 'xian4', 'shou4']"
麻木不仁,"['ma2', 'mu4', 'bu4', 'ren2']"
马勃牛溲,"['ma3', 'bo2', 'niu2', 'sou1']"
马浡牛溲,"['ma3', 'bo2', 'niu2', 'sou1']"
马不解鞍,"['ma3', 'bu4', 'jie3', 'an1']"
马不停蹄,"['ma3', 'bu4', 'ting2', 'ti2']"
马尘不及,"['ma3', 'chen2', 'bu4', 'ji2']"
马迟枚疾,"['ma3', 'chi2', 'mei2', 'ji2']"
马齿徒长,"['ma3', 'chi3', 'tu2', 'zhang3']"
马齿徒增,"['ma3', 'chi3', 'tu2', 'zeng1']"
马到成功,"['ma3', 'dao4', 'cheng2', 'gong1']"
马到功成,"['ma3', 'dao4', 'gong1', 'cheng2']"
马耳春风,"['ma3', 'er3', 'chun1', 'feng1']"
马耳东风,"['ma3', 'er3', 'dong1', 'feng1']"
马翻人仰,"['ma3', 'fan1', 'ren2', 'yang3']"
马放南山,"['ma3', 'fang4', 'nan2', 'shan1']"
马腹逃鞭,"['ma3', 'fu4', 'tao2', 'bian1']"
马革裹尸,"['ma3', 'ge2', 'guo3', 'shi1']"
马革盛尸,"['ma3', 'ge2', 'sheng4', 'shi1']"
马工枚速,"['ma3', 'gong1', 'mei2', 'su4']"
马迹蛛丝,"['ma3', 'ji4', 'zhu1', 'si1']"
马角乌白,"['ma3', 'jiao3', 'wu1', 'bai2']"
马角乌头,"['ma3', 'jiao3', 'wu1', 'tou2']"
马空冀北,"['ma3', 'kong1', 'ji4', 'bei3']"
马龙车水,"['ma3', 'long2', 'che1', 'shui3']"
马鹿异形,"['ma3', 'lu4', 'yi4', 'xing2']"
马鹿易形,"['ma3', 'lu4', 'yi4', 'xing2']"
马马虎虎,"['ma3', 'ma3', 'hu3', 'hu3']"
马毛猬磔,"['ma3', 'mao2', 'wei4', 'zhe2']"
马毛蝟磔,"['ma3', 'mao2', 'wei4', 'zhe2']"
马面牛头,"['ma3', 'mian4', 'niu2', 'tou2']"
马牛襟裾,"['ma3', 'niu2', 'jin1', 'ju1']"
马牛其风,"['ma3', 'niu2', 'qi2', 'feng1']"
马前泼水,"['ma3', 'qian2', 'po1', 'shui3']"
马去马归,"['ma3', 'qu4', 'ma3', 'gui1']"
马如流水,"['ma3', 'ru2', 'liu2', 'shui3']"
马如游龙,"['ma3', 'ru2', 'you2', 'long2']"
马如游鱼,"['ma3', 'ru2', 'you2', 'yu2']"
马入华山,"['ma3', 'ru4', 'hua4', 'shan1']"
马上房子,"['ma3', 'shang4', 'fang2', 'zi']"
马上功成,"['ma3', 'shang4', 'gong1', 'cheng2']"
马上看花,"['ma3', 'shang4', 'kan4', 'hua1']"
马上墙头,"['ma3', 'shang4', 'qiang2', 'tou2']"
马首是瞻,"['ma3', 'shou3', 'shi4', 'zhan1']"
马首欲东,"['ma3', 'shou3', 'yu4', 'dong1']"
马瘦毛长,"['ma3', 'shou4', 'mao2', 'chang2']"
马水车龙,"['ma3', 'shui3', 'che1', 'long2']"
马咽车阗,"['ma3', 'yan1', 'che1', 'tian2']"
马仰人翻,"['ma3', 'yang3', 'ren2', 'fan1']"
马中关五,"['ma3', 'zhong1', 'guan1', 'wu3']"
马壮人强,"['ma3', 'zhuang4', 'ren2', 'qiang2']"
马捉老鼠,"['ma3', 'zhuo1', 'lao3', 'shu3']"
马足车尘,"['ma3', 'zu2', 'che1', 'chen2']"
马足龙沙,"['ma3', 'zu2', 'long2', 'sha1']"
蚂蚁缘槐,"['ma3', 'yi3', 'yuan2', 'huai2']"
骂不绝口,"['ma4', 'bu4', 'jue2', 'kou3']"
骂天扯地,"['ma4', 'tian1', 'che3', 'di4']"
骂天咒地,"['ma4', 'tian1', 'zhou4', 'di4']"
埋轮破柱,"['mai2', 'lun2', 'po4', 'zhu4']"
埋声晦迹,"['mai2', 'sheng1', 'hui4', 'ji4']"
埋天怨地,"['man2', 'tian1', 'yuan4', 'di4']"
埋头顾影,"['mai2', 'tou2', 'gu4', 'ying3']"
埋头苦干,"['mai2', 'tou2', 'ku3', 'gan4']"
买菜求益,"['mai3', 'cai4', 'qiu2', 'yi4']"
买臣覆水,"['mai3', 'chen2', 'fu4', 'shui3']"
买东买西,"['mai3', 'dong1', 'mai3', 'xi1']"
买椟还珠,"['mai3', 'du2', 'huan2', 'zhu1']"
买犊卖刀,"['mai3', 'du2', 'mai4', 'dao1']"
买官鬻爵,"['mai3', 'guan1', 'yu4', 'jue2']"
买贱卖贵,"['mai3', 'jian4', 'mai4', 'gui4']"
买静求安,"['mai3', 'jing4', 'qiu2', 'an1']"
买爵贩官,"['mai3', 'jue2', 'fan4', 'guan1']"
买空卖空,"['mai3', 'kong1', 'mai4', 'kong1']"
买犁卖剑,"['mai3', 'li2', 'mai4', 'jian4']"
买马招兵,"['mai3', 'ma3', 'zhao1', 'bing1']"
买马招军,"['mai3', 'ma3', 'zhao1', 'jun1']"
买牛卖剑,"['mai3', 'niu2', 'mai4', 'jian4']"
买牛息戈,"['mai3', 'niu2', 'xi1', 'ge1']"
买上告下,"['mai3', 'shang4', 'gao4', 'xia4']"
买上嘱下,"['mai3', 'shang4', 'zhu3', 'xia4']"
买田阳羡,"['mai3', 'tian2', 'yang2', 'xian4']"
买铁思金,"['mai3', 'tie3', 'si1', 'jin1']"
买王得羊,"['mai3', 'wang2', 'de2', 'yang2']"
买笑寻欢,"['mai3', 'xiao4', 'xun2', 'huan1']"
买笑迎欢,"['mai3', 'xiao4', 'ying2', 'huan1']"
买笑追欢,"['mai3', 'xiao4', 'zhui1', 'huan1']"
迈古超今,"['mai4', 'gu3', 'chao1', 'jin1']"
麦饭豆羹,"['mai4', 'fan4', 'dou4', 'geng1']"
麦丘之祝,"['mai4', 'qiu1', 'zhi1', 'zhu4']"
麦穗两岐,"['mai4', 'sui4', 'liang3', 'qi2']"
麦穗两歧,"['mai4', 'sui4', 'liang3', 'qi2']"
麦秀两岐,"['mai4', 'xiu4', 'liang3', 'qi2']"
麦秀两歧,"['mai4', 'xiu4', 'liang3', 'qi2']"
麦秀黍离,"['mai4', 'xiu4', 'shu3', 'li2']"
卖刀买犊,"['mai4', 'dao1', 'mai3', 'du2']"
卖犊买刀,"['mai4', 'du2', 'mai3', 'dao1']"
卖儿贴妇,"['mai4', 'er2', 'tie1', 'fu4']"
卖儿鬻女,"['mai4', 'er2', 'yu4', 'nv3']"
卖法市恩,"['mai4', 'fa3', 'shi4', 'en1']"
卖富差贫,"['mai4', 'fu4', 'cha4', 'pin2']"
卖公营私,"['mai4', 'gong1', 'ying2', 'si1']"
卖狗悬羊,"['mai4', 'gou3', 'xuan2', 'yang2']"
卖乖弄俏,"['mai4', 'guai1', 'nong4', 'qiao4']"
卖官贩爵,"['mai4', 'guan1', 'fan4', 'jue2']"
卖官卖爵,"['mai4', 'guan1', 'mai4', 'jue2']"
卖官鬻爵,"['mai4', 'guan1', 'yu4', 'jue2']"
卖官鬻狱,"['mai4', 'guan1', 'yu4', 'yu4']"
卖国求利,"['mai4', 'guo2', 'qiu2', 'li4']"
卖国求荣,"['mai4', 'guo2', 'qiu2', 'rong2']"
卖剑买犊,"['mai4', 'jian4', 'mai3', 'du2']"
卖剑买牛,"['mai4', 'jian4', 'mai3', 'niu2']"
卖剑买琴,"['mai4', 'jian4', 'mai3', 'qin2']"
卖爵鬻官,"['mai4', 'jue2', 'yu4', 'guan1']"
卖空买空,"['mai4', 'kong1', 'mai3', 'kong1']"
卖李钻核,"['mai4', 'li3', 'zuan1', 'he2']"
卖履分香,"['mai4', 'lv3', 'fen1', 'xiang1']"
卖男鬻女,"['mai4', 'nan2', 'yu4', 'nv3']"
卖妻鬻子,"['mai4', 'qi1', 'yu4', 'zi3']"
卖俏行奸,"['mai4', 'qiao4', 'xing2', 'jian1']"
卖俏迎奸,"['mai4', 'qiao4', 'ying2', 'jian1']"
卖身投靠,"['mai4', 'shen1', 'tou2', 'kao4']"
卖头卖脚,"['mai4', 'tou2', 'mai4', 'jiao3']"
卖文为生,"['mai4', 'wen2', 'wei2', 'shen1']"
卖笑追欢,"['mai4', 'xiao4', 'zhui1', 'huan1']"
卖友求荣,"['mai4', 'you3', 'qiu2', 'rong2']"
卖主求荣,"['mai4', 'zhu3', 'qiu2', 'rong2']"
脉脉含情,"['mo4', 'mo4', 'han2', 'qing2']"
脉脉相通,"['mai4', 'mai4', 'xiang1', 'tong1']"
蛮不讲理,"['man2', 'bu4', 'jiang3', 'li3']"
蛮触相争,"['man2', 'chu4', 'xiang1', 'zheng1']"
蛮横无理,"['man2', 'heng4', 'wu2', 'li3']"
蛮来生作,"['man2', 'lai2', 'sheng1', 'zuo4']"
蛮烟瘴雾,"['man2', 'yan1', 'zhang4', 'wu4']"
蛮烟瘴雨,"['man2', 'yan1', 'zhang4', 'yu3']"
瞒上欺下,"['man2', 'shang4', 'qi1', 'xia4']"
瞒神弄鬼,"['man2', 'shen2', 'nong4', 'gui3']"
瞒天大谎,"['man2', 'tian1', 'da4', 'huang3']"
瞒天过海,"['man2', 'tian1', 'guo4', 'hai3']"
瞒天瞒地,"['man2', 'tian1', 'man2', 'di4']"
瞒天昧地,"['man2', 'tian1', 'mei4', 'di4']"
瞒天讨价,"['man2', 'tian1', 'tao3', 'jia4']"
瞒天要价,"['man2', 'tian1', 'yao4', 'jia4']"
瞒心昧己,"['man2', 'xin1', 'mei4', 'ji3']"
满不在乎,"['man3', 'bu4', 'zai4', 'hu1']"
满不在意,"['man3', 'bu4', 'zai4', 'yi4']"
满城风雨,"['man3', 'cheng2', 'feng1', 'yu3']"
满打满算,"['man3', 'da3', 'man3', 'suan4']"
满而不溢,"['man3', 'er2', 'bu4', 'yi4']"
满腹狐疑,"['man3', 'fu4', 'hu2', 'yi2']"
满腹经纶,"['man3', 'fu4', 'jing1', 'lun2']"
满腹牢骚,"['man3', 'fu4', 'lao2', 'sao1']"
满腹文章,"['man3', 'fu4', 'wen2', 'zhang1']"
满腹疑团,"['man3', 'fu4', 'yi2', 'tuan2']"
满腹珠玑,"['man3', 'fu4', 'zhu1', 'ji1']"
满谷满坑,"['man3', 'gu3', 'man3', 'keng1']"
满坑满谷,"['man3', 'keng1', 'man3', 'gu3']"
满脸春风,"['man3', 'lian3', 'chun1', 'feng1']"
满脸春色,"['man3', 'lian3', 'chun1', 'se4']"
满面春风,"['man3', 'mian4', 'chun1', 'feng1']"
满面红光,"['man3', 'mian4', 'hong2', 'guang1']"
满目疮痍,"['man3', 'mu4', 'chuang1', 'yi2']"
满目荆榛,"['man3', 'mu4', 'jing1', 'zhen1']"
满目凄凉,"['man3', 'mu4', 'qi1', 'liang2']"
满盘皆输,"['man3', 'pan2', 'jie1', 'shu1']"
满腔热忱,"['man3', 'qiang1', 're4', 'chen2']"
满腔热枕,"['man3', 'qiang1', 're4', 'chen2']"
满山遍野,"['man3', 'shan1', 'bian4', 'ye3']"
满舌生花,"['man3', 'she2', 'sheng1', 'hua1']"
满天星斗,"['man3', 'tian1', 'xing1', 'dou3']"
满袖春风,"['man3', 'xiu4', 'chun1', 'feng1']"
满园春色,"['man3', 'yuan2', 'chun1', 'se4']"
满载而归,"['man3', 'zai4', 'er2', 'gui1']"
满纸空言,"['man3', 'zhi3', 'kong1', 'yan2']"
满坐风生,"['man3', 'zuo4', 'feng1', 'sheng1']"
满座风生,"['man3', 'zuo4', 'feng1', 'sheng1']"
曼衍鱼龙,"['man4', 'yan3', 'yu2', 'long2']"
谩不经意,"['man4', 'bu4', 'jing1', 'yi4']"
谩藏诲盗,"['man4', 'cang2', 'hui4', 'dao4']"
谩辞哗说,"['man4', 'ci2', 'hua2', 'shuo1']"
谩天谩地,"['man4', 'tian1', 'man4', 'di4']"
谩天昧地,"['man2', 'tian1', 'mei4', 'di4']"
慢藏诲盗,"['man4', 'cang2', 'hui4', 'dao4']"
慢腾斯礼,"['man4', 'teng2', 'si1', 'li3']"
慢条丝礼,"['man4', 'tiao2', 'si1', 'li3']"
慢条斯礼,"['man4', 'tiao2', 'si1', 'li3']"
慢条斯理,"['man4', 'tiao2', 'si1', 'li3']"
慢条厮礼,"['man4', 'tiao2', 'si1', 'li3']"
慢易生忧,"['man4', 'yi4', 'sheng1', 'you1']"
漫不加意,"['man4', 'bu4', 'jia1', 'yi4']"
漫不经心,"['man4', 'bu4', 'jing1', 'xin1']"
漫不经意,"['man4', 'bu4', 'jing1', 'yi4']"
漫藏诲盗,"['man4', 'cang2', 'hui4', 'dao4']"
漫地漫天,"['man4', 'di4', 'man4', 'tian1']"
漫山遍野,"['man4', 'shan1', 'bian4', 'ye3']"
漫山塞野,"['man4', 'shan1', 'sai1', 'ye3']"
漫天蔽野,"['man4', 'tian1', 'bi4', 'ye3']"
漫天遍地,"['man4', 'shan1', 'bian4', 'di4']"
漫天遍野,"['man4', 'shan1', 'bian4', 'ye3']"
漫天大谎,"['man4', 'tian1', 'da4', 'huang3']"
漫天盖地,"['man4', 'tian1', 'gai4', 'di4']"
漫天过海,"['man4', 'tian1', 'guo4', 'hai3']"
漫天叫价,"['man4', 'tian1', 'jiao4', 'jia4']"
漫天开价,"['man4', 'tian1', 'kai1', 'jia4']"
漫天掩地,"['man4', 'tian1', 'yan3', 'di4']"
漫天要价,"['man4', 'tian1', 'yao4', 'jia4']"
漫天匝地,"['man4', 'tian1', 'za1', 'di4']"
漫条斯理,"['man4', 'tiao2', 'si1', 'li3']"
漫无边际,"['man4', 'wu2', 'bian1', 'ji4']"
漫无止境,"['man4', 'wu2', 'zhi3', 'jing4']"
蔓草难除,"['man4', 'cao3', 'nan2', 'chu2']"
蔓蔓日茂,"['man4', 'man4', 'ri4', 'mao4']"
蔓引株求,"['man4', 'yin3', 'zhu1', 'qiu2']"
忙不择价,"['mang2', 'bu4', 'ze2', 'jia4']"
忙里偷闲,"['mang2', 'li3', 'tou1', 'xian2']"
忙忙碌碌,"['mang2', 'mang2', 'lu4', 'lu4']"
忙中有错,"['mang2', 'zhong1', 'you3', 'cuo4']"
忙中有失,"['mang2', 'zhong1', 'you3', 'shi1']"
芒刺在背,"['mang2', 'ci4', 'zai4', 'bei4']"
芒寒色正,"['mang2', 'han2', 'se4', 'zheng4']"
芒芒苦海,"['mang2', 'mang2', 'ku3', 'hai3']"
芒鞋竹笠,"['mang2', 'xie2', 'zhu2', 'li4']"
尨眉皓发,"['chou2', 'mei2', 'hao4', 'fa1']"
盲风暴雨,"['mang2', 'feng1', 'bao4', 'yu3']"
盲风妒雨,"['mang2', 'feng1', 'du4', 'yu3']"
盲风怪雨,"['mang2', 'feng1', 'guai4', 'yu3']"
盲风怪云,"['mang2', 'feng1', 'guai4', 'yun2']"
盲风晦雨,"['mang2', 'feng1', 'hui4', 'yu3']"
盲风涩雨,"['mang2', 'feng1', 'se4', 'yu3']"
盲人把烛,"['mang2', 'ren2', 'ba3', 'zhu2']"
盲人扪烛,"['mang2', 'ren2', 'men2', 'zhu2']"
盲人摸象,"['mang2', 'ren2', 'mo1', 'xiang4']"
盲人说象,"['mang2', 'ren2', 'shuo1', 'xiang4']"
盲人瞎马,"['mang2', 'ren2', 'xia1', 'ma3']"
盲翁扪钥,"['mang2', 'weng1', 'men2', 'yao4']"
盲翁扪籥,"['mang2', 'weng1', 'men2', 'yue4']"
盲者得镜,"['mang2', 'zhe3', 'de2', 'jing4']"
茫茫苦海,"['mang2', 'mang2', 'ku3', 'hai3']"
茫然不解,"['mang2', 'ran2', 'bu4', 'jie3']"
茫然若失,"['mang2', 'ran2', 'ruo4', 'shi1']"
茫然自失,"['mang2', 'ran2', 'zi4', 'shi1']"
茫无边际,"['mang2', 'wu2', 'bian1', 'ji4']"
茫无端绪,"['mang2', 'wu2', 'duan1', 'xu4']"
茫无所知,"['mang2', 'wu2', 'suo3', 'zhi1']"
茫无头绪,"['mang2', 'wu2', 'tou2', 'xu4']"
茫无涯际,"['mang2', 'wu2', 'ya2', 'ji4']"
蟒袍玉带,"['mang3', 'pao2', 'yu4', 'dai4']"
猫哭老鼠,"['mao1', 'ku1', 'lao3', 'shu3']"
猫噬鹦鹉,"['mao1', 'shi4', 'ying1', 'wu3']"
猫鼠同处,"['mao1', 'shu3', 'tong2', 'chu3']"
猫鼠同眠,"['mao1', 'shu3', 'tong2', 'mian2']"
猫鼠同乳,"['mao1', 'shu3', 'tong2', 'ru3']"
毛发不爽,"['mao2', 'fa1', 'bu4', 'shuang3']"
毛发倒竖,"['mao2', 'fa1', 'dao3', 'shu4']"
毛发丝粟,"['mao2', 'fa4', 'si1', 'su4']"
毛发悚然,"['mao2', 'fa1', 'song3', 'ran2']"
毛发耸然,"['mao2', 'fa1', 'song3', 'ran2']"
毛发之功,"['mao2', 'fa4', 'zhi1', 'gong1']"
毛骨悚然,"['mao2', 'gu3', 'song3', 'ran2']"
毛骨耸然,"['mao2', 'gu3', 'song3', 'ran2']"
毛骨竦然,"['mao2', 'gu3', 'song3', 'ran2']"
毛举缕析,"['mao2', 'ju3', 'lv3', 'xi1']"
毛举细故,"['mao2', 'ju3', 'xi4', 'gu4']"
毛举细务,"['mao2', 'ju3', 'xi4', 'wu4']"
毛森骨立,"['mao2', 'sen1', 'gu3', 'li4']"
毛手毛脚,"['mao2', 'shou3', 'mao2', 'jiao3']"
毛遂堕井,"['mao2', 'sui2', 'duo4', 'jing3']"
毛遂自荐,"['mao2', 'sui2', 'zi4', 'jian4']"
毛羽零落,"['mao2', 'yu3', 'ling2', 'luo4']"
毛羽未丰,"['mao2', 'yu3', 'wei4', 'feng1']"
茅茨土阶,"['mao2', 'ci4', 'tu3', 'jie1']"
茅庐三顾,"['mao2', 'lu2', 'san1', 'gu4']"
茅塞顿开,"['mao2', 'se4', 'dun4', 'kai1']"
茅室蓬户,"['mao2', 'shi4', 'peng2', 'hu4']"
茅屋采椽,"['mao2', 'wu1', 'cai3', 'chuan2']"
茂林修竹,"['mao4', 'lin2', 'xiu1', 'zhu2']"
冒大不韪,"['mao4', 'da4', 'bu4', 'wei3']"
冒名顶替,"['mao4', 'ming2', 'ding3', 'ti4']"
冒名接脚,"['mao4', 'ming2', 'jie3', 'jiao3']"
贸首之仇,"['mao4', 'shou3', 'zhi1', 'chou2']"
贸首之雠,"['mao4', 'shou3', 'zhi1', 'chou2']"
貌合情离,"['mao4', 'he2', 'qing2', 'li2']"
貌合神离,"['mao4', 'he2', 'shen2', 'li2']"
貌合心离,"['mao4', 'he2', 'xin1', 'li2']"
貌合行离,"['mao4', 'he2', 'xing2', 'li2']"
貌合形离,"['mao4', 'he2', 'xing2', 'li2']"
貌离神合,"['mao4', 'li2', 'shen2', 'he2']"
貌是情非,"['mao4', 'shi4', 'qing2', 'fei1']"
貌是心非,"['mao4', 'shi4', 'xin1', 'fei1']"
貌似强大,"['mao4', 'si4', 'qiang2', 'da4']"
没查没利,"['mei2', 'cha2', 'mei2', 'li4']"
没齿不忘,"['mo4', 'chi3', 'bu4', 'wang4']"
没齿难忘,"['mo4', 'chi3', 'nan2', 'wang4']"
没齿无怨,"['mo4', 'chi3', 'wu2', 'yuan4']"
没颠没倒,"['mei2', 'dian1', 'mei2', 'dao3']"
没而不朽,"['mei2', 'er2', 'bu4', 'xiu3']"
没法没天,"['mei2', 'fa3', 'mei2', 'tian1']"
没法奈何,"['mei2', 'fa3', 'nai4', 'he2']"
没计奈何,"['mei2', 'ji4', 'nai4', 'he2']"
没金铩羽,"['mei2', 'jin1', 'sha1', 'yu3']"
没金饮羽,"['mo4', 'jin1', 'yin3', 'yu3']"
没精打采,"['mei2', 'jing1', 'da3', 'cai3']"
没精打彩,"['mei2', 'jing1', 'da3', 'cai3']"
没精没彩,"['mei2', 'jing1', 'mei2', 'cai3']"
没精塌彩,"['mei2', 'jing1', 'ta1', 'cai3']"
没可奈何,"['mei2', 'ke3', 'nai4', 'he2']"
没里没外,"['mei2', 'li3', 'mei2', 'wai4']"
没毛大虫,"['mei2', 'mao2', 'da4', 'chong2']"
没没无闻,"['mo4', 'mo4', 'wu2', 'wen2']"
没眉没眼,"['mei2', 'mei2', 'mei2', 'yan3']"
没轻没重,"['mei2', 'qing1', 'mei2', 'zhong4']"
没日没夜,"['mei2', 'ri4', 'mei2', 'ye4']"
没石饮羽,"['mei2', 'shi2', 'yin3', 'yu3']"
没世不忘,"['mo4', 'shi4', 'bu4', 'wang4']"
没世不渝,"['mei2', 'shi4', 'bu4', 'yu2']"
没世难忘,"['mo4', 'shi4', 'nan2', 'wang4']"
没世穷年,"['mei2', 'shi4', 'qiong2', 'nian2']"
没世无称,"['mei2', 'shi4', 'wu2', 'cheng1']"
没世无闻,"['mei2', 'shi4', 'wu2', 'wen2']"
没头苍蝇,"['mei2', 'tou2', 'cang1', 'ying']"
没头没脸,"['mei2', 'tou2', 'mei2', 'lian3']"
没头没脑,"['mei2', 'tou2', 'mei2', 'nao3']"
没完没了,"['mei2', 'wan2', 'mei2', 'liao3']"
没卫饮羽,"['mei2', 'wei4', 'yin3', 'yu3']"
没屋架梁,"['mei2', 'wu1', 'jia4', 'liang2']"
没衷一是,"['mo4', 'zhong1', 'yi1', 'shi4']"
枚速马工,"['ma3', 'gong1', 'mei2', 'su4']"
眉飞色舞,"['mei2', 'fei1', 'se4', 'wu3']"
眉飞眼笑,"['mei2', 'fei1', 'yan3', 'xiao4']"
眉高眼低,"['mei2', 'gao1', 'yan3', 'di1']"
眉花眼笑,"['mei2', 'hua1', 'yan3', 'xiao4']"
眉欢眼笑,"['mei2', 'huan1', 'yan3', 'xiao4']"
眉睫之祸,"['mei2', 'jie2', 'zhi1', 'huo4']"
眉睫之内,"['mei2', 'jie2', 'zhi1', 'nei4']"
眉开眼笑,"['mei2', 'kai1', 'yan3', 'xiao4']"
眉来眼去,"['mei2', 'lai2', 'yan3', 'qu4']"
眉目传情,"['mei2', 'mu4', 'chuan2', 'qing2']"
眉目如画,"['mei2', 'mu4', 'ru2', 'hua4']"
眉清目秀,"['mei2', 'qing1', 'mu4', 'xiu4']"
眉头不伸,"['mei2', 'tou2', 'bu4', 'shen1']"
眉头眼尾,"['mei2', 'tou2', 'yan3', 'wei3']"
眉语目笑,"['mei2', 'yu3', 'mu4', 'xiao4']"
梅妻鹤子,"['mei2', 'qi1', 'he4', 'zi3']"
媒妁之言,"['mei2', 'shuo4', 'zhi1', 'yan2']"
每饭不忘,"['mei3', 'fan4', 'bu4', 'wang4']"
每况愈下,"['mei3', 'kuang4', 'yu4', 'xia4']"
每下愈况,"['mei3', 'xia4', 'yu4', 'kuang4']"
美不胜收,"['mei3', 'bu4', 'sheng4', 'shou1']"
美景良辰,"['mei3', 'jing3', 'liang2', 'chen2']"
美轮美奂,"['mei3', 'lun2', 'mei3', 'huan4']"
美女簪花,"['mei3', 'nv3', 'zan1', 'hua1']"
美芹之献,"['mei3', 'qin2', 'zhi1', 'xian4']"
美人迟暮,"['mei3', 'ren2', 'chi2', 'mu4']"
美人香草,"['mei3', 'ren2', 'xiang1', 'cao3']"
美如冠玉,"['mei3', 'ru2', 'guan1', 'yu4']"
美言不信,"['mei3', 'yan2', 'bu4', 'xin4']"
美意延年,"['mei3', 'yi4', 'yan2', 'nian2']"
美玉无瑕,"['mei3', 'yu4', 'wu2', 'xia2']"
美中不足,"['mei3', 'zhong1', 'bu4', 'zu2']"
昧旦晨兴,"['mei4', 'dan4', 'chun2', 'xing1']"
昧地瞒天,"['mei4', 'di4', 'man2', 'tian1']"
昧地谩天,"['mei4', 'di4', 'man2', 'tian1']"
昧己瞒心,"['mei4', 'ji3', 'man2', 'xin1']"
昧死以闻,"['mei4', 'si3', 'yi3', 'wen2']"
袂云汗雨,"['mei4', 'yun2', 'han4', 'yu3']"
门不停宾,"['men2', 'bu4', 'ting2', 'bin1']"
门不夜关,"['men2', 'bu4', 'ye4', 'guan1']"
门不夜扃,"['men2', 'bu4', 'ye4', 'jiong1']"
门单户薄,"['men2', 'dan1', 'hu4', 'bo2']"
门殚户尽,"['men2', 'dan1', 'hu4', 'jin4']"
门当户对,"['men2', 'dang1', 'hu4', 'dui4']"
门到户说,"['men2', 'dao4', 'hu4', 'shuo1']"
门户之见,"['men2', 'hu4', 'zhi1', 'jian4']"
门户之争,"['men2', 'hu4', 'zhi1', 'zheng1']"
门阶户席,"['men2', 'jie1', 'hu4', 'xi2']"
门禁森严,"['men2', 'jin4', 'sen1', 'yan2']"
门堪罗雀,"['men2', 'kan1', 'luo2', 'que4']"
门可罗雀,"['men2', 'ke3', 'luo2', 'que4']"
门可张罗,"['men2', 'ke3', 'zhang1', 'luo2']"
门闾之望,"['men2', 'lv3', 'zhi1', 'wang4']"
门墙桃李,"['men2', 'qiang2', 'tao2', 'li3']"
门生故旧,"['men2', 'sheng1', 'gu4', 'jiu4']"
门生故吏,"['men2', 'sheng1', 'gu4', 'li4']"
